32	0
104	100000
72	1000010000
85	10000100010
66	10000100011
107	100001001
46	10000101
112	1000011
116	10001
118	10010000
65	100100010
73	100100011
45	1001001000
39	1001001001
58	1001001010
120	1001001011
55	100100110000000
53	100100110000001
9	10010011000001
38	10010011000010
59	10010011000011
88	1001001100010
47	1001001100011
41	100100110010
40	100100110011
80	1001001101
61	1001001110
77	1001001111
108	100101
97	10011
111	10100
121	1010100
102	1010101
103	1010110
68	1010111000
89	10101110010
52	10101110011000
81	10101110011001
33	1010111001101
56	10101110011100
123	1010111001110100
94	1010111001110101
93	1010111001110110
91	1010111001110111
48	1010111001111
83	101011101
70	10101111000
113	10101111001
75	10101111010
96	10101111011
87	1010111110
51	1010111111000
74	1010111111001
50	101011111101
63	101011111110
57	10101111111100
90	10101111111101
54	10101111111110
124	101011111111110
125	1010111111111110
64	10101111111111110
43	10101111111111111
10	101100
100	101101
105	10111
114	11000
110	11001
101	1101
115	11100
99	111010
117	111011
98	1111000
86	11110010000
49	111100100010
62	111100100011
42	11110010010
60	111100100110
34	111100100111
79	111100101
84	11110011
119	1111010
78	111101100
76	111101101
82	111101110
67	111101111
109	111110
106	11111100000
122	11111100001
71	1111110001
95	111111001
69	11111101
44	1111111
