0.000006	43
0.000006	64
0.000018	125
0.000024	91
0.000024	93
0.000024	94
0.000024	123
0.000048	124
0.000067	53
0.000073	55
0.000079	54
0.000079	90
0.000091	57
0.000103	56
0.000103	81
0.000109	52
0.000127	59
0.000133	38
0.000139	9
0.000176	74
0.000188	51
0.000194	48
0.000212	33
0.000230	47
0.000254	88
0.000285	34
0.000309	60
0.000315	62
0.000327	49
0.000339	63
0.000345	50
0.000436	40
0.000442	41
0.000575	122
0.000587	106
0.000642	42
0.000648	86
0.000721	96
0.000751	75
0.000775	113
0.000799	70
0.000836	89
0.001060	66
0.001072	85
0.001132	71
0.001435	87
0.001689	68
0.001695	77
0.001847	61
0.001889	80
0.001913	120
0.001925	58
0.001944	39
0.002047	45
0.002143	72
0.002277	95
0.002325	67
0.002325	82
0.002331	76
0.002343	78
0.002507	79
0.003058	83
0.004069	73
0.004117	65
0.004160	107
0.004493	69
0.005007	84
0.008229	118
0.008265	46
0.008477	44
0.010021	119
0.010081	98
0.013442	103
0.013533	102
0.013739	121
0.016530	112
0.018685	109
0.020696	117
0.022966	99
0.023033	100
0.024958	10
0.028313	108
0.033278	104
0.044643	115
0.045569	110
0.046132	114
0.047707	105
0.054046	111
0.056771	97
0.063262	116
0.089564	101
0.205595	32
